시군,기업갯수
가평군,24
강릉시,112
강진군,14
거제시,42
거창군,16
경산시,192
경주시,98
계룡시,19
고령군,17
고성군_강원,13
고성군_경남,12
고양시,669
고창군,15
고흥군,17
곡성군,21
공주시,76
과천시,59
광명시,219
광양시,78
광주광역시,912
광주시,99
괴산군,20
구례군,10
구리시,61
구미시,194
군산시,97
군위군,13
군포시,217
금산군,24
김제시,37
김천시,63
김포시,170
김해시,178
나주시,221
남양주시,259
남원시,43
남해군,13
논산시,39
단양군,12
담양군,44
당진시,67
대구광역시,1345
대전광역시,1925
동두천시,15
동해시,33
목포시,123
무안군,36
무주군,9
문경시,30
밀양시,27
보령시,54
보성군,15
보은군,15
봉화군,9
부산광역시,1882
부안군,17
부여군,26
부천시,494
사천시,32
산청군,17
삼척시,28
상주시,36
서귀포시,44
서산시,41
서울특별시,16565
서천군,13
성남시,1605
성주군,26
세종특별자치시,333
속초시,26
수원시,621
순창군,9
순천시,172
시흥시,154
신안군,5
아산시,150
안동시,108
안산시,301
안성시,37
안양시,967
양구군,13
양산시,83
양양군,11
양주시,76
양평군,42
여수시,102
여주시,40
연천군,8
영광군,41
영덕군,10
영동군,15
영암군,23
영양군,6
영월군,15
영주시,27
영천시,46
예산군,33
예천군,12
오산시,45
옥천군,16
완도군,10
완주군,56
용인시,526
울릉군,6
울산광역시,432
울진군,42
원주시,200
음성군,30
의령군,10
의성군,22
의왕시,156
의정부시,141
이천시,42
익산시,119
인제군,19
인천광역시,1272
임실군,11
장성군,58
장수군,8
장흥군,13
전주시,568
정선군,19
정읍시,51
제주시,474
제천시,44
증평군,7
진도군,12
진안군,4
진주시,181
진천군,25
창녕군,12
창원시,667
천안시,319
철원군,18
청도군,13
청송군,13
청양군,15
청주시,546
춘천시,316
충주시,83
칠곡군,47
태백시,25
태안군,33
통영시,33
파주시,180
평창군,19
평택시,134
포천시,67
포항시,207
하남시,262
하동군,14
함안군,18
함양군,18
함평군,21
합천군,16
해남군,21
홍성군,50
홍천군,28
화성시,355
화순군,61
화천군,14
횡성군,14
