회사명,주소,기업규모
(주)엘에스컴퍼니,제주특별자치도 제주시 청사로 11 4층 (도남동),중소기업
미래산업,울산광역시 울주군 서생면 당물길 59 204호,중소기업
나래기술,전라북도 전주시 완산구 천잠로 303 대학본관동 B층 102호 (효자동2가 전주대학교),중소기업
주식회사 인투와이즈,대전광역시 유성구 가정로 218 2층 233-3호(가정동융합기술연구생산센터),중소기업
모피어스 주식회사,경기도 고양시 일산서구 킨텍스로 240 2805호 (대화동지아이에프씨타워),중소기업
주식회사 이엔피브이원,충청남도 아산시 배방읍 희망로46번길 45-7 5층 502호(명천빌딩),중소기업
주식회사 케이골프,서울특별시 강남구 논현로 721 (논현동 3층 4층 5층 에르고슬립빌딩),중소기업
비케이,전라남도 광양시 광양읍 서천2길 13 1층,중소기업
유진산업,전라남도 순천시 조례1길 11 2층 1호(조례동),중소기업
대성산업,전라남도 순천시 왕궁길 95 105동 1203호 (조례동 송촌프라임),중소기업
주식회사 이엔피게임즈,서울특별시 금천구 벚꽃로 298 1408호 (가산동 대륭포스트타워6차),중소기업
영라인(주),대구광역시 북구 매천로 147 2층 (매천동),중소기업
주식회사 아이컴,전라북도 전주시 완산구 석산1길 18-10 301호 (효자동3가),중소기업
원아이티,경상북도 경산시 하양읍 가마실길 50 산학협력관906호 (경일대학교),중소기업
(주)수인테크,경기도 성남시 중원구 사기막골로 124 B동 304호 (상대원동 에스케이엔테크노파크비즈센터),중소기업
주식회사 블루시그널,대전광역시 유성구 문지로 272-16 415호 (문지동 인공지능센터),중소기업
(주)한커뮤니케이션,서울특별시 구로구 디지털로26길 123 1510호 (구로동 지플러스코오롱디지털타워),중소기업
씨엠유니버스(주),서울특별시 금천구 가산디지털1로 142 13층 1319호(가산동 가산더스카이밸리1차),중소기업
주식회사 디바스,서울특별시 마포구 월드컵북로 396 연구개발타워 1005호 (상암동 누리꿈스퀘어),중소기업
주식회사 제이플러스,경기도 군포시 고산로148번길 17 에이-2802-1호(당정동 군포아이티밸리),중소기업
세이프컴퍼니,서울특별시 중랑구 망우로67가길 5 102호 (망우동),중소기업
(주) 앤츠컴,서울특별시 광진구 능동로 18 비07호(자양동 이튼타워리버3차),중소기업
주식회사 미래손,서울특별시 금천구 서부샛길 606 에이-1301 (가산동대성디-폴리스지식산업센터),중소기업
